ax_ms2,ay_ms2,az_ms2,gx_rads,gy_rads,gz_rads,dt_s
0.210690,-0.407010,-9.399640,0.186421,0.253533,-0.723315,0.010000
0.172380,-0.210690,-9.351750,0.196009,0.204531,-0.662594,0.010000
0.000000,-0.081400,-9.217680,0.198139,0.189617,-0.641289,0.010000
0.124500,-0.162810,-9.045290,0.213053,0.110788,-0.607201,0.010000
0.718260,-1.182740,-8.872910,0.288687,0.071373,-0.602940,0.010000
0.306460,0.028730,-9.102750,0.284426,-0.135289,-0.576308,0.010000
-0.090980,0.129290,-9.107540,0.275903,-0.200270,-0.545415,0.010000
0.148440,-0.158020,-9.179370,0.224771,-0.243946,-0.518784,0.010000
0.067040,-0.148440,-9.222460,0.189617,-0.268447,-0.536893,0.010000
0.148440,-0.258570,-9.145850,0.234358,-0.330232,-0.559264,0.010000
0.550670,-0.435740,-9.241620,0.285491,-0.404800,-0.566721,0.010000
0.512360,-0.411800,-9.323020,0.307861,-0.377104,-0.576308,0.010000
0.651220,-0.627280,-9.308660,0.333428,-0.304666,-0.577373,0.010000
0.598550,-0.569820,-9.466670,0.289752,-0.225836,-0.569916,0.010000
0.665590,-0.775720,-9.351750,0.252468,-0.156594,-0.566721,0.010000
0.541090,-0.430960,-9.572020,0.274838,-0.124636,-0.543285,0.010000
0.483630,-0.114920,-9.414000,0.305731,-0.139550,-0.485761,0.010000
0.555450,-0.181960,-9.270350,0.290817,-0.182160,-0.451672,0.010000
0.545880,-0.100560,-9.251190,0.292948,-0.213053,-0.420779,0.010000
0.636860,-0.330400,-9.174580,0.303600,-0.257794,-0.425041,0.010000
0.665590,-0.339980,-9.208100,0.296144,-0.281230,-0.453803,0.010000
0.751780,-0.349550,-9.203310,0.302535,-0.289752,-0.483630,0.010000
0.742200,-0.153230,-9.313440,0.335558,-0.272708,-0.463390,0.010000
0.794870,-0.076610,-9.141060,0.356864,-0.284426,-0.442085,0.010000
0.804450,-0.004790,-9.112330,0.357929,-0.267381,-0.397344,0.010000
0.746990,0.067040,-9.179370,0.362190,-0.287621,-0.347276,0.010000
0.646430,0.320820,-9.121910,0.376038,-0.305731,-0.307861,0.010000
0.641650,0.234630,-9.251190,0.365386,-0.315318,-0.276969,0.010000
0.632070,0.172380,-9.270350,0.329167,-0.309992,-0.242880,0.010000
0.751780,0.138860,-9.481040,0.287621,-0.242880,-0.203466,0.010000
0.814030,-0.100560,-9.543290,0.216249,-0.199204,-0.164051,0.010000
0.737410,0.071830,-9.543290,0.184291,-0.169377,-0.128897,0.010000
0.823610,-0.033520,-9.442730,0.152333,-0.142745,-0.104396,0.010000
0.756570,0.191540,-9.303870,0.133158,-0.121440,-0.059655,0.010000
0.837970,-0.019150,-9.203310,0.118244,-0.102265,-0.055394,0.010000
0.938530,-0.014370,-9.155430,0.122505,-0.055394,-0.079895,0.010000
1.019930,-0.090980,-9.160220,0.149137,-0.068177,-0.094809,0.010000
0.995990,-0.119710,-9.050080,0.177899,-0.126766,-0.087352,0.010000
1.134850,-0.239420,-9.188950,0.192813,-0.142745,-0.052198,0.010000
1.096540,-0.057460,-9.050080,0.200270,-0.181095,-0.031958,0.010000
0.981620,-0.043100,-9.227250,0.211988,-0.224771,0.004261,0.010000
0.464480,-0.038310,-9.054870,0.143811,-0.286556,-0.018109,0.010000
0.895430,-0.220270,-9.476250,0.077764,-0.265251,0.063916,0.010000
0.837970,0.239420,-9.619900,0.147006,-0.273773,0.136354,0.010000
0.809240,0.105340,-9.514560,0.142745,-0.302535,0.233293,0.010000
0.823610,-0.028730,-9.648630,0.127832,-0.323840,0.328101,0.010000
0.924160,-0.081400,-9.595960,0.116114,-0.374973,0.407996,0.010000
1.048660,0.282520,-9.045290,0.069242,-0.347276,0.452737,0.010000
1.264140,-0.014370,-9.308660,-0.017044,-0.172573,0.492152,0.010000
1.225830,-0.047880,-9.356540,-0.074569,-0.036219,0.549676,0.010000
1.259350,0.191540,-9.476250,-0.062851,-0.010653,0.656203,0.010000
1.422160,0.119710,-9.418790,0.045806,0.014914,0.770186,0.010000
1.268930,-0.100560,-9.605540,0.161920,-0.043676,0.932106,0.010000
1.235410,0.014370,-9.524130,0.269512,-0.165116,1.131311,0.010000
1.292870,0.186750,-9.586380,0.390952,-0.260990,1.339037,0.010000
1.704670,0.114920,-9.404420,0.414388,-0.067112,1.432781,0.010000
1.355120,-0.009580,-9.026140,0.405866,0.084156,1.449825,0.010000
1.115700,-0.186750,-8.844180,0.287621,0.105461,1.456216,0.010000
0.981620,-0.129290,-8.748410,0.327036,-0.041545,1.398692,0.010000
1.101330,-0.162810,-9.011780,0.294013,-0.132093,1.355016,0.010000
1.067810,0.124500,-9.011780,0.343015,-0.239684,1.316667,0.010000
1.063030,0.239420,-9.342180,0.398409,-0.356864,1.356082,0.010000
1.005560,0.550670,-9.500190,0.490022,-0.492152,1.450890,0.010000
1.565810,0.445320,-9.222460,0.569916,-0.427171,1.526524,0.010000
1.541870,0.483630,-9.366120,0.600809,-0.322775,1.570200,0.010000
1.709460,0.148440,-9.370910,0.545415,-0.211988,1.667139,0.010000
1.776500,-0.086190,-9.011780,0.465521,-0.198139,1.752360,0.010000
1.843540,0.177170,-9.232040,0.286556,-0.164051,1.822667,0.010000
1.675940,0.272940,-9.112330,0.216249,-0.099070,1.903628,0.010000
1.508350,-0.057460,-9.026140,0.448476,-0.175769,1.882322,0.010000
1.019930,0.196320,-9.126700,0.573112,-0.343015,1.808819,0.010000
0.746990,0.545880,-9.088390,0.619984,-0.550742,1.788579,0.010000
0.928950,0.746990,-8.810660,0.460194,-0.642354,1.825863,0.010000
1.407790,0.756570,-9.169790,0.376038,-0.723315,1.864213,0.010000
2.068590,0.814030,-8.777140,0.344080,-0.582700,1.819472,0.010000
2.657560,0.339980,-9.117120,0.297209,-0.276969,1.750229,0.010000
2.403780,-0.167590,-9.390060,0.135289,-0.017044,1.752360,0.010000
2.135630,-0.239420,-9.255980,0.054328,0.023436,1.674596,0.010000
1.867480,-0.282520,-9.284710,0.148072,-0.142745,1.577657,0.010000
1.652000,0.421380,-9.107540,0.010653,-0.229032,1.548895,0.010000
1.278500,0.933740,-9.088390,-0.091613,-0.333428,1.555286,0.010000
1.211470,1.096540,-9.160220,-0.173638,-0.428236,1.575526,0.010000
1.355120,1.321600,-9.006990,-0.192813,-0.481500,1.603223,0.010000
1.810020,0.770930,-8.939950,-0.182160,-0.434628,1.657551,0.010000
2.408570,0.426170,-8.791510,-0.178964,-0.448476,1.669269,0.010000
2.346320,0.675160,-9.107540,-0.353668,-0.390952,1.765143,0.010000
2.217030,0.363920,-9.126700,-0.200270,-0.166181,1.702293,0.010000
2.303220,0.579400,-9.184160,-0.222640,-0.009587,1.659682,0.010000
1.968030,0.445320,-9.107540,-0.281230,0.020240,1.652225,0.010000
1.661580,0.799660,-8.805870,-0.358994,-0.041545,1.592570,0.010000
0.378280,1.508350,-9.313440,-0.354733,-0.152333,1.990979,0.010000
1.359910,1.652000,-9.504980,-0.632767,-0.350472,2.184857,0.010000
1.465250,1.848320,-8.312670,-0.628506,-0.160855,2.058091,0.010000
1.838750,0.962470,-8.920800,-0.650877,0.041545,2.047438,0.010000
2.001550,0.028730,-8.767570,-0.537959,0.184291,2.131594,0.010000
2.442090,0.081400,-8.748410,-0.372843,0.351537,2.245577,0.010000
2.547430,0.062250,-9.117120,-0.125701,0.331297,2.306298,0.010000
1.886630,0.469260,-8.839390,-0.015979,0.152333,2.353169,0.010000
1.503560,0.689530,-9.351750,-0.051133,-0.240750,2.388323,0.010000
1.139640,0.837970,-9.241620,-0.077764,-0.481500,2.299906,0.010000
1.192310,0.536300,-9.270350,-0.068177,-0.476173,2.250904,0.010000
1.513140,0.679950,-9.538500,-0.201335,-0.604005,2.275405,0.010000
1.948880,1.168370,-8.346190,0.041545,-0.156594,2.046373,0.010000
2.427720,0.138860,-8.820240,0.174703,0.253533,2.123072,0.010000
2.638410,-0.272940,-8.571240,0.312122,0.484695,2.117746,0.010000
2.322380,-0.172380,-8.748410,0.373908,0.623180,2.140116,0.010000
2.011130,0.440530,-9.222460,0.345146,0.570982,2.110289,0.010000
1.340750,1.297660,-9.404420,0.294013,0.462325,2.069809,0.010000
1.091760,1.829170,-9.634270,0.172573,0.135289,1.968609,0.010000
1.163580,1.278500,-9.753980,0.154463,-0.116114,2.053830,0.010000
0.818820,2.600100,-9.227250,0.177899,-0.255663,1.878061,0.010000
1.407790,1.714250,-9.255980,0.217314,-0.213053,1.937716,0.010000
1.790860,1.647210,-9.198520,0.222640,-0.242880,1.988849,0.010000
2.063800,1.704670,-9.323020,0.078830,-0.202400,1.950499,0.010000
1.991980,1.350330,-9.054870,0.047937,-0.158724,1.980327,0.010000
1.608900,1.278500,-9.150640,0.030893,-0.152333,1.990979,0.010000
1.537080,1.163580,-8.983040,0.053263,-0.165116,1.913215,0.010000
1.489190,1.072600,-9.284710,0.113983,-0.174703,1.848234,0.010000
1.379060,1.072600,-9.112330,0.237554,-0.241815,1.868474,0.010000
1.517920,0.852340,-9.270350,0.311057,-0.350472,1.922802,0.010000
1.326390,1.158790,-9.074020,0.320645,-0.352603,1.983522,0.010000
1.436520,1.407790,-8.987830,0.324906,-0.064981,1.862082,0.010000
1.637630,0.962470,-8.992620,0.082025,0.177899,1.782187,0.010000
1.623270,1.201890,-8.916010,0.007457,0.325971,1.634116,0.010000
1.719040,1.340750,-9.193730,-0.002131,0.377104,1.477522,0.010000
1.374270,1.618480,-9.342180,-0.007457,0.402670,1.375256,0.010000
1.369480,1.704670,-9.414000,0.078830,0.353668,1.337972,0.010000
1.398210,1.484410,-9.346960,0.142745,0.230097,1.337972,0.010000
1.316810,1.249770,-9.370910,0.125701,0.021305,1.421063,0.010000
0.900220,1.302450,-9.102750,0.088417,-0.238619,1.539307,0.010000
0.943320,1.465250,-9.069240,0.095874,-0.422910,1.695901,0.010000
1.086970,1.522710,-9.035720,0.119310,-0.469782,1.840777,0.010000
1.163580,1.762130,-8.777140,0.103331,-0.327036,1.818406,0.010000
1.221040,1.316810,-8.978260,-0.019175,-0.230097,1.720402,0.010000
1.130060,1.211470,-8.805870,-0.092678,-0.229032,1.650095,0.010000
0.962470,1.316810,-8.848970,-0.134223,-0.296144,1.626659,0.010000
1.053450,1.403000,-9.294290,-0.052198,-0.356864,1.627724,0.010000
0.943320,1.364690,-9.337390,0.005326,-0.292948,1.687379,0.010000
0.818820,1.546650,-9.145850,-0.003196,-0.275903,1.826928,0.010000
1.034300,1.470040,-8.882490,0.043676,-0.216249,1.803493,0.010000
1.139640,1.350330,-9.011780,0.012783,-0.154463,1.801362,0.010000
1.211470,1.335960,-8.868120,-0.089482,-0.210922,1.784318,0.010000
1.216250,1.426940,-8.896850,-0.043676,-0.266316,1.788579,0.010000
1.446100,1.321600,-9.222460,-0.084156,-0.203466,1.734251,0.010000
1.355120,1.374270,-9.208100,-0.082025,-0.180030,1.717206,0.010000
1.182740,1.393430,-9.246410,-0.113983,-0.119310,1.753425,0.010000
1.201890,1.259350,-9.050080,-0.041545,-0.151268,1.783253,0.010000
0.962470,1.556230,-9.006990,0.033023,-0.294013,1.948369,0.010000
1.201890,1.254560,-9.188950,0.113983,-0.434628,2.110289,0.010000
1.230620,1.541870,-8.901640,0.034088,-0.301470,2.115615,0.010000
1.455670,1.695090,-9.476250,-0.072438,-0.193878,2.184857,0.010000
1.637630,1.522710,-9.002200,-0.192813,-0.158724,2.195510,0.010000
1.441310,1.661580,-9.030930,-0.112918,0.004261,2.088984,0.010000
0.995990,1.656790,-9.126700,-0.121440,0.010653,2.035720,0.010000
0.732630,1.321600,-9.093180,-0.123571,0.014914,1.883388,0.010000
0.766140,1.312020,-9.112330,-0.070307,-0.024501,1.712945,0.010000
1.144430,1.589750,-9.356540,-0.072438,-0.054328,1.685248,0.010000
1.225830,1.872270,-9.433160,-0.030893,-0.066046,1.791775,0.010000
1.364690,1.685520,-9.457100,-0.009587,-0.104396,1.903628,0.010000
1.383850,1.647210,-9.150640,-0.037284,-0.197074,1.927063,0.010000
1.819590,1.283290,-9.423580,-0.129962,-0.274838,1.807754,0.010000
1.273720,1.134850,-8.954310,-0.250337,-0.321710,1.683118,0.010000
0.488420,1.316810,-8.911220,-0.305731,-0.320645,1.575526,0.010000
0.517150,1.201890,-8.925580,-0.302535,-0.302535,1.511610,0.010000
0.708680,1.154010,-9.016560,-0.356864,-0.198139,1.562743,0.010000
0.435740,1.288080,-9.021350,-0.206661,-0.192813,1.642638,0.010000
1.173160,1.297660,-9.255980,-0.051133,0.233293,1.750229,0.010000
1.211470,1.206680,-9.050080,0.003196,0.370712,1.900432,0.010000
1.048660,1.498770,-8.892070,0.049002,0.292948,2.018676,0.010000
0.651220,1.326390,-8.954310,0.046872,0.242880,2.061287,0.010000
-0.181960,0.866700,-8.714890,0.106526,0.079895,2.028264,0.010000
0.129290,0.919370,-8.963890,0.141680,0.009587,1.976066,0.010000
0.636860,1.010350,-9.351750,0.181095,0.108657,1.990979,0.010000
1.039080,1.125270,-9.385270,0.111853,0.156594,2.041047,0.010000
0.823610,1.355120,-9.141060,0.100135,0.039415,2.008024,0.010000
0.440530,1.584960,-9.097970,0.024501,-0.159790,1.960087,0.010000
0.196320,1.541870,-8.949530,-0.080960,-0.363255,1.777926,0.010000
0.799660,1.326390,-9.021350,-0.123571,-0.170442,1.721467,0.010000
0.210690,1.359910,-8.748410,-0.122505,-0.092678,1.749164,0.010000
-0.239420,1.039080,-8.623910,0.010653,-0.063916,1.837581,0.010000
0.416590,1.125270,-9.074020,0.334493,-0.012783,1.833320,0.010000
0.665590,1.292870,-9.433160,0.575243,0.110788,1.835451,0.010000
0.708680,1.359910,-9.279930,0.693487,0.169377,1.841842,0.010000
0.905010,1.762130,-9.184160,0.792557,0.169377,1.908954,0.010000
6.320690,13.311760,-73.683950,0.000000,0.000000,0.000000,0.010000
4.616020,10.591950,-74.699100,6.358563,-0.063916,16.558470,0.010000
0.421380,8.274360,-71.059910,5.830192,0.126766,13.938985,0.010000
2.260130,9.174580,-72.534740,4.964132,0.809601,12.800218,0.010000
0.957680,11.492170,-73.090190,3.694337,2.048503,12.255867,0.010000
1.838750,12.258310,-72.438960,3.039199,2.379801,11.954397,0.010000
3.045420,18.215090,-72.726270,2.884736,1.638377,11.984225,0.010000
