ax_ms2,ay_ms2,az_ms2,gx_rads,gy_rads,gz_rads,mx_ut,my_ut,mz_ut,dt_s
1.091760,0.890640,-9.610330,0.113983,-0.173638,-0.042611,62.730000,125.098000,-161.969000,0.010000
1.436520,0.799660,-9.950300,-0.139550,-0.276969,-0.110788,62.730000,125.098000,-161.969000,0.010000
1.187520,0.636860,-8.939950,-0.039415,-0.128897,-0.139550,62.730000,125.098000,-161.969000,0.010000
1.010350,0.608130,-8.537720,0.108657,-0.128897,-0.124636,62.730000,125.098000,-161.969000,0.010000
0.521940,0.823610,-8.829820,0.151268,-0.144876,-0.103331,62.730000,125.098000,-161.969000,0.010000
0.560240,0.833180,-9.002200,0.216249,-0.121440,-0.085221,62.730000,125.098000,-161.969000,0.010000
0.454900,1.000780,-9.193730,0.241815,-0.113983,-0.044741,60.363000,121.523000,-159.687000,0.010000
0.579400,0.919370,-9.265560,0.239684,-0.127832,-0.027697,60.363000,121.523000,-159.687000,0.010000
0.646430,0.981620,-9.045290,0.320645,0.010653,0.023436,60.363000,121.523000,-159.687000,0.010000
0.689530,0.933740,-8.916010,0.308927,0.082025,0.031958,60.363000,121.523000,-159.687000,0.010000
0.665590,0.962470,-8.791510,0.316384,0.095874,0.044741,60.363000,121.523000,-159.687000,0.010000
0.713470,0.986410,-9.069240,0.299339,0.100135,0.040480,60.363000,121.523000,-159.687000,0.010000
0.852340,0.986410,-9.112330,0.296144,0.109722,0.041545,60.363000,121.523000,-159.687000,0.010000
0.943320,0.948100,-9.217680,0.299339,0.120375,0.031958,60.363000,121.523000,-159.687000,0.010000
0.952890,1.005560,-9.241620,0.307861,0.106526,0.018109,60.363000,121.523000,-159.687000,0.010000
0.952890,0.991200,-9.323020,0.309992,0.102265,0.005326,60.363000,121.523000,-159.687000,0.010000
0.924160,1.005560,-9.275140,0.300405,0.090547,-0.003196,60.363000,121.523000,-159.687000,0.010000
0.933740,0.995990,-9.155430,0.298274,0.059655,-0.011718,60.363000,121.523000,-159.687000,0.010000
0.833180,1.039080,-9.212890,0.285491,0.019175,-0.023436,60.363000,121.523000,-159.687000,0.010000
0.833180,1.072600,-9.289500,0.288687,-0.014914,-0.023436,63.914000,122.715000,-163.109000,0.010000
0.876280,1.058240,-9.141060,0.269512,-0.066046,-0.003196,63.914000,122.715000,-163.109000,0.010000
0.837970,1.072600,-9.260770,0.282295,-0.054328,0.018109,63.914000,122.715000,-163.109000,0.010000
0.823610,1.086970,-9.227250,0.286556,-0.023436,0.031958,63.914000,122.715000,-163.109000,0.010000
0.814030,1.077390,-9.155430,0.313188,-0.010653,0.038350,63.914000,122.715000,-163.109000,0.010000
0.818820,1.005560,-9.141060,0.317449,-0.020240,0.044741,63.914000,122.715000,-163.109000,0.010000
0.847550,1.106120,-9.150640,0.321710,-0.035154,0.040480,63.914000,122.715000,-163.109000,0.010000
